Time,Rep,PopSizeF,PopSizeM,PopSizeM_Maj,PopSizeM_Min,PopSizeM_Juv,PopSize,CurrentEnv,avg_env,avg_thr,avg_res,avg_condition,avg_majM_condition,avg_minM_condition,avg_juvM_condition,avg_F_condition,avg_majM_display,iniT,MRate,MStdDev,Extinction
384,0,4,0,0,0,0,4,2.26163,1.3086,0,0.977865,0.0248367,-nan,-nan,-nan,0.0248367,-nan,0,0.02,0.025,1
350,1,0,4,4,0,0,4,2.18768,1.24503,0,0.982904,0.0402487,0.0402487,-nan,-nan,-nan,0.0402487,0,0.02,0.025,1
348,2,0,1,1,0,0,1,2.21142,1.31992,0,0.939854,0.0483593,0.0483593,-nan,-nan,-nan,0.0483593,0,0.02,0.025,1
393,3,0,0,0,0,0,0,2.33783,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.025,1
351,4,0,2,2,0,0,2,2.18426,1.23086,0,0.980271,0.0268722,0.0268722,-nan,-nan,-nan,0.0268722,0,0.02,0.025,1
355,5,0,0,0,0,0,0,2.27529,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.025,1
366,6,0,0,0,0,0,0,2.10261,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.025,1
350,7,6,0,0,0,0,6,2.1904,1.26274,0,0.956625,0.0289687,-nan,-nan,-nan,0.0289687,-nan,0,0.02,0.025,1
362,8,0,1,1,0,0,1,2.13496,1.20244,0,0.93976,0.00724014,0.00724014,-nan,-nan,-nan,0.00724014,0,0.02,0.025,1
361,9,3,0,0,0,0,3,2.05403,1.15456,0,0.954136,0.0546624,-nan,-nan,-nan,0.0546624,-nan,0,0.02,0.025,1
330,10,0,0,0,0,0,0,2.20748,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.025,1
358,11,0,4,4,0,0,4,2.10975,1.19684,0,0.963371,0.0504569,0.0504569,-nan,-nan,-nan,0.0504569,0,0.02,0.025,1
354,12,0,2,2,0,0,2,2.10429,1.18581,0,0.951303,0.0328193,0.0328193,-nan,-nan,-nan,0.0328193,0,0.02,0.025,1
382,13,1,0,0,0,0,1,2.22592,1.25101,0,0.989583,0.0146695,-nan,-nan,-nan,0.0146695,-nan,0,0.02,0.025,1
388,14,0,1,1,0,0,1,2.36897,1.41325,0,0.97985,0.0241346,0.0241346,-nan,-nan,-nan,0.0241346,0,0.02,0.025,1
333,15,0,2,2,0,0,2,2.1464,1.19577,0,0.96427,0.0136377,0.0136377,-nan,-nan,-nan,0.0136377,0,0.02,0.025,1
395,16,0,1,1,0,0,1,2.30275,1.35252,0,0.964404,0.0141764,0.0141764,-nan,-nan,-nan,0.0141764,0,0.02,0.025,1
346,17,0,3,3,0,0,3,2.18633,1.24302,0,0.960135,0.0168261,0.0168261,-nan,-nan,-nan,0.0168261,0,0.02,0.025,1
382,18,0,1,1,0,0,1,2.24437,1.34976,0,0.938093,0.0434812,0.0434812,-nan,-nan,-nan,0.0434812,0,0.02,0.025,1
355,19,0,1,1,0,0,1,2.19869,1.26255,0,0.955673,0.0195277,0.0195277,-nan,-nan,-nan,0.0195277,0,0.02,0.025,1
359,20,2,0,0,0,0,2,2.19223,1.25859,0,0.95821,0.0245712,-nan,-nan,-nan,0.0245712,-nan,0,0.02,0.025,1
340,21,0,5,5,0,0,5,2.11096,1.1877,0,0.969925,0.0466638,0.0466638,-nan,-nan,-nan,0.0466638,0,0.02,0.025,1
