Time,Rep,PopSizeF,PopSizeM,PopSizeM_Maj,PopSizeM_Min,PopSizeM_Juv,PopSize,CurrentEnv,avg_env,avg_thr,avg_res,avg_condition,avg_majM_condition,avg_minM_condition,avg_juvM_condition,avg_F_condition,avg_majM_display,iniT,MRate,MStdDev,Extinction
332,0,4,0,0,0,0,4,2.17826,1.23802,0,0.97017,0.0299289,-nan,-nan,-nan,0.0299289,-nan,0,0.02,0.02,1
353,1,0,1,1,0,0,1,2.22593,1.24816,0,0.984236,0.00646257,0.00646257,-nan,-nan,-nan,0.00646257,0,0.02,0.02,1
354,2,3,0,0,0,0,3,2.15591,1.22467,0,0.960683,0.0294415,-nan,-nan,-nan,0.0294415,-nan,0,0.02,0.02,1
354,3,0,1,1,0,0,1,2.15059,1.18933,0,0.965551,0.00428926,0.00428926,-nan,-nan,-nan,0.00428926,0,0.02,0.02,1
362,4,0,0,0,0,0,0,2.23033,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.02,1
342,5,0,0,0,0,0,0,2.1853,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.02,1
351,6,0,3,3,0,0,3,2.19479,1.29474,0,0.967158,0.0671092,0.0671092,-nan,-nan,-nan,0.0671092,0,0.02,0.02,1
378,7,1,0,0,0,0,1,2.31476,1.38861,0,0.954526,0.0283742,-nan,-nan,-nan,0.0283742,-nan,0,0.02,0.02,1
369,8,1,0,0,0,0,1,2.19007,1.22227,0,0.99373,0.0259301,-nan,-nan,-nan,0.0259301,-nan,0,0.02,0.02,1
367,9,1,0,0,0,0,1,2.1709,1.24357,0,0.959342,0.0320112,-nan,-nan,-nan,0.0320112,-nan,0,0.02,0.02,1
347,10,1,0,0,0,0,1,2.13896,1.19476,0,0.957705,0.0135036,-nan,-nan,-nan,0.0135036,-nan,0,0.02,0.02,1
380,11,4,0,0,0,0,4,2.17318,1.25791,0,0.948364,0.0330912,-nan,-nan,-nan,0.0330912,-nan,0,0.02,0.02,1
368,12,3,0,0,0,0,3,2.25474,1.31296,0,0.959571,0.0177943,-nan,-nan,-nan,0.0177943,-nan,0,0.02,0.02,1
