Time,Rep,PopSizeF,PopSizeM,PopSizeM_Maj,PopSizeM_Min,PopSizeM_Juv,PopSize,CurrentEnv,avg_env,avg_thr,avg_res,avg_condition,avg_majM_condition,avg_minM_condition,avg_juvM_condition,avg_F_condition,avg_majM_display,iniT,MRate,MStdDev,Extinction
366,0,0,0,0,0,0,0,2.16678,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.015,1
393,1,0,0,0,0,0,0,2.34926,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.015,1
323,2,2,0,0,0,0,2,2.12575,1.20152,0,0.961108,0.0368818,-nan,-nan,-nan,0.0368818,-nan,0,0.02,0.015,1
341,3,2,0,0,0,0,2,2.22074,1.29144,0,0.979077,0.0497761,-nan,-nan,-nan,0.0497761,-nan,0,0.02,0.015,1
376,4,0,4,4,0,0,4,2.16363,1.24008,0,0.944971,0.0214243,0.0214243,-nan,-nan,-nan,0.0214243,0,0.02,0.015,1
392,5,0,4,4,0,0,4,2.21697,1.31723,0,0.959749,0.0600117,0.0600117,-nan,-nan,-nan,0.0600117,0,0.02,0.015,1
381,6,0,1,1,0,0,1,2.23576,1.31229,0,0.966966,0.0435028,0.0435028,-nan,-nan,-nan,0.0435028,0,0.02,0.015,1
366,7,0,3,3,0,0,3,2.17896,1.247,0,0.97831,0.04635,0.04635,-nan,-nan,-nan,0.04635,0,0.02,0.015,1
358,8,1,0,0,0,0,1,2.26531,1.27475,0,0.9951,0.00453731,-nan,-nan,-nan,0.00453731,-nan,0,0.02,0.015,1
348,9,2,0,0,0,0,2,2.14373,1.22079,0,0.954325,0.0313923,-nan,-nan,-nan,0.0313923,-nan,0,0.02,0.015,1
396,10,1,0,0,0,0,1,2.27532,1.33566,0,0.958417,0.0187627,-nan,-nan,-nan,0.0187627,-nan,0,0.02,0.015,1
368,11,1,0,0,0,0,1,2.25102,1.27027,0,0.985144,0.00439763,-nan,-nan,-nan,0.00439763,-nan,0,0.02,0.015,1
360,12,0,1,1,0,0,1,2.2123,1.29626,0,0.941421,0.0253814,0.0253814,-nan,-nan,-nan,0.0253814,0,0.02,0.015,1
367,13,2,0,0,0,0,2,2.13051,1.24436,0,0.948695,0.0625438,-nan,-nan,-nan,0.0625438,-nan,0,0.02,0.015,1
369,14,0,1,1,0,0,1,2.22601,1.28877,0,0.988805,0.0515623,0.0515623,-nan,-nan,-nan,0.0515623,0,0.02,0.015,1
352,15,0,1,1,0,0,1,2.10232,1.15401,0,0.997556,0.0492484,0.0492484,-nan,-nan,-nan,0.0492484,0,0.02,0.015,1
375,16,0,1,1,0,0,1,2.25293,1.29999,0,0.960176,0.00724111,0.00724111,-nan,-nan,-nan,0.00724111,0,0.02,0.015,1
326,17,0,3,3,0,0,3,2.14509,1.20134,0,0.977692,0.0339443,0.0339443,-nan,-nan,-nan,0.0339443,0,0.02,0.015,1
336,18,0,4,4,0,0,4,2.2056,1.29311,0,0.958108,0.0456144,0.0456144,-nan,-nan,-nan,0.0456144,0,0.02,0.015,1
335,19,0,0,0,0,0,0,2.11228,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.015,1
353,20,1,0,0,0,0,1,2.19946,1.26113,0,0.98848,0.0501447,-nan,-nan,-nan,0.0501447,-nan,0,0.02,0.015,1
365,21,1,0,0,0,0,1,2.2965,1.35197,0,0.971449,0.0269221,-nan,-nan,-nan,0.0269221,-nan,0,0.02,0.015,1
371,22,2,0,0,0,0,2,2.1764,1.24358,0,0.965869,0.0330542,-nan,-nan,-nan,0.0330542,-nan,0,0.02,0.015,1
372,23,2,0,0,0,0,2,2.21693,1.2579,0,0.976902,0.0178764,-nan,-nan,-nan,0.0178764,-nan,0,0.02,0.015,1
350,24,0,1,1,0,0,1,2.25122,1.29431,0,0.968078,0.011167,0.011167,-nan,-nan,-nan,0.011167,0,0.02,0.015,1
338,25,2,0,0,0,0,2,2.19763,1.24308,0,0.979528,0.0249767,-nan,-nan,-nan,0.0249767,-nan,0,0.02,0.015,1
404,26,5,0,0,0,0,5,2.20257,1.26708,0,0.965281,0.0297977,-nan,-nan,-nan,0.0297977,-nan,0,0.02,0.015,1
344,27,0,1,1,0,0,1,2.12643,1.18221,0,0.972728,0.0284994,0.0284994,-nan,-nan,-nan,0.0284994,0,0.02,0.015,1
377,28,0,1,1,0,0,1,2.20007,1.23364,0,0.983393,0.016968,0.016968,-nan,-nan,-nan,0.016968,0,0.02,0.015,1
372,29,2,0,0,0,0,2,2.21552,1.25361,0,0.997354,0.0354466,-nan,-nan,-nan,0.0354466,-nan,0,0.02,0.015,1
374,30,0,1,1,0,0,1,2.22765,1.30564,0,0.990522,0.0685111,0.0685111,-nan,-nan,-nan,0.0685111,0,0.02,0.015,1
398,31,2,0,0,0,0,2,2.34998,1.38525,0,0.981279,0.0165459,-nan,-nan,-nan,0.0165459,-nan,0,0.02,0.015,1
375,32,0,2,2,0,0,2,2.18437,1.24353,0,0.9539,0.0130543,0.0130543,-nan,-nan,-nan,0.0130543,0,0.02,0.015,1
352,33,2,0,0,0,0,2,2.18888,1.24438,0,0.975296,0.030802,-nan,-nan,-nan,0.030802,-nan,0,0.02,0.015,1
342,34,1,0,0,0,0,1,2.1598,1.22,0,0.9671,0.0273022,-nan,-nan,-nan,0.0273022,-nan,0,0.02,0.015,1
362,35,3,0,0,0,0,3,2.18507,1.26726,0,0.950585,0.0327749,-nan,-nan,-nan,0.0327749,-nan,0,0.02,0.015,1
359,36,2,0,0,0,0,2,2.17251,1.22574,0,0.967907,0.0211405,-nan,-nan,-nan,0.0211405,-nan,0,0.02,0.015,1
346,37,0,1,1,0,0,1,2.16477,1.18522,0,0.981459,0.00190505,0.00190505,-nan,-nan,-nan,0.00190505,0,0.02,0.015,1
382,38,0,0,0,0,0,0,2.25306,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.015,1
374,39,1,0,0,0,0,1,2.27324,1.31372,0,0.97731,0.0177888,-nan,-nan,-nan,0.0177888,-nan,0,0.02,0.015,1
358,40,0,1,1,0,0,1,2.24298,1.29816,0,0.973317,0.0284993,0.0284993,-nan,-nan,-nan,0.0284993,0,0.02,0.015,1
365,41,2,0,0,0,0,2,2.14459,1.20379,0,0.950826,0.0100227,-nan,-nan,-nan,0.0100227,-nan,0,0.02,0.015,1
366,42,1,0,0,0,0,1,2.23776,1.28844,0,0.988279,0.038967,-nan,-nan,-nan,0.038967,-nan,0,0.02,0.015,1
364,43,2,0,0,0,0,2,2.14155,1.21501,0,0.958633,0.0320932,-nan,-nan,-nan,0.0320932,-nan,0,0.02,0.015,1
337,44,0,1,1,0,0,1,2.1699,1.25128,0,0.996382,0.0777625,0.0777625,-nan,-nan,-nan,0.0777625,0,0.02,0.015,1
344,45,0,3,3,0,0,3,2.12602,1.22104,0,0.963193,0.0582064,0.0582064,-nan,-nan,-nan,0.0582064,0,0.02,0.015,1
322,46,1,0,0,0,0,1,2.13918,1.20308,0,0.936795,0.000700943,-nan,-nan,-nan,0.000700943,-nan,0,0.02,0.015,1
358,47,0,2,2,0,0,2,2.22251,1.28018,0,0.978091,0.0357595,0.0357595,-nan,-nan,-nan,0.0357595,0,0.02,0.015,1
350,48,1,0,0,0,0,1,2.10034,1.17743,0,0.997412,0.074507,-nan,-nan,-nan,0.074507,-nan,0,0.02,0.015,1
360,49,0,1,1,0,0,1,2.10127,1.17232,0,0.973824,0.0448812,0.0448812,-nan,-nan,-nan,0.0448812,0,0.02,0.015,1
341,0,1,0,0,0,0,1,2.10062,1.18441,0.25,0.918004,0.00179096,-nan,-nan,-nan,0.00179096,-nan,0.25,0.02,0.015,1
386,1,0,0,0,0,0,0,2.16616,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.25,0.02,0.015,1
359,2,1,0,0,0,0,1,2.13888,1.20232,0.25,0.96074,0.0241791,-nan,-nan,-nan,0.0241791,-nan,0.25,0.02,0.015,1
398,3,1,0,0,0,0,1,2.23979,1.28564,0.25,0.964035,0.00988477,-nan,-nan,-nan,0.00988477,-nan,0.25,0.02,0.015,1
354,4,0,1,0,1,0,1,2.19117,1.22231,0.25,0.97425,0.00538518,-nan,0.00538518,-nan,-nan,-nan,0.25,0.02,0.015,1
358,5,1,0,0,0,0,1,2.1697,1.25991,0.25,0.926349,0.0165614,-nan,-nan,-nan,0.0165614,-nan,0.25,0.02,0.015,1
370,6,0,2,0,2,0,2,2.18234,1.24943,0.25,0.956485,0.0235754,-nan,0.0235754,-nan,-nan,-nan,0.25,0.02,0.015,1
345,7,0,3,0,3,0,3,2.11016,1.15994,0.25,0.967479,0.0172635,-nan,0.0172635,-nan,-nan,-nan,0.25,0.02,0.015,1
335,8,2,0,0,0,0,2,2.16327,1.26277,0.25,0.938083,0.0375867,-nan,-nan,-nan,0.0375867,-nan,0.25,0.02,0.015,1
358,9,0,1,0,1,0,1,2.13634,1.2234,0.25,0.923259,0.0103185,-nan,0.0103185,-nan,-nan,-nan,0.25,0.02,0.015,1
