Time,Rep,PopSizeF,PopSizeM,PopSizeM_Maj,PopSizeM_Min,PopSizeM_Juv,PopSize,CurrentEnv,avg_env,avg_thr,avg_res,avg_condition,avg_majM_condition,avg_minM_condition,avg_juvM_condition,avg_F_condition,avg_majM_display,iniT,MRate,MStdDev,Extinction
393,0,1,0,0,0,0,1,2.20419,1.26075,0,0.966584,0.0231403,-nan,-nan,-nan,0.0231403,-nan,0,0.02,0.005,1
360,1,1,0,0,0,0,1,2.11865,1.21421,0,0.987117,0.0826758,-nan,-nan,-nan,0.0826758,-nan,0,0.02,0.005,1
367,2,3,0,0,0,0,3,2.17195,1.20378,0,0.980374,0.0122057,-nan,-nan,-nan,0.0122057,-nan,0,0.02,0.005,1
402,3,0,1,1,0,0,1,2.20121,1.23503,0,0.995796,0.0296105,0.0296105,-nan,-nan,-nan,0.0296105,0,0.02,0.005,1
361,4,2,0,0,0,0,2,2.1881,1.23157,0,0.969212,0.0126845,-nan,-nan,-nan,0.0126845,-nan,0,0.02,0.005,1
352,5,0,1,1,0,0,1,2.17302,1.22799,0,0.95729,0.0122634,0.0122634,-nan,-nan,-nan,0.0122634,0,0.02,0.005,1
392,6,1,0,0,0,0,1,2.23285,1.28933,0,0.97532,0.0317932,-nan,-nan,-nan,0.0317932,-nan,0,0.02,0.005,1
336,7,4,0,0,0,0,4,2.15669,1.19919,0,0.977628,0.0201235,-nan,-nan,-nan,0.0201235,-nan,0,0.02,0.005,1
411,8,0,2,2,0,0,2,2.13861,1.22576,0,0.991737,0.0788872,0.0788872,-nan,-nan,-nan,0.0788872,0,0.02,0.005,1
353,9,2,0,0,0,0,2,2.14132,1.19491,0,0.973549,0.0271421,-nan,-nan,-nan,0.0271421,-nan,0,0.02,0.005,1
359,10,5,0,0,0,0,5,2.06583,1.14808,0,0.970658,0.0529123,-nan,-nan,-nan,0.0529123,-nan,0,0.02,0.005,1
347,11,3,0,0,0,0,3,2.17476,1.24431,0,0.988491,0.0580369,-nan,-nan,-nan,0.0580369,-nan,0,0.02,0.005,1
360,12,2,0,0,0,0,2,2.11052,1.15709,0,0.971865,0.0184323,-nan,-nan,-nan,0.0184323,-nan,0,0.02,0.005,1
357,13,1,0,0,0,0,1,2.2171,1.28945,0,0.936292,0.00864375,-nan,-nan,-nan,0.00864375,-nan,0,0.02,0.005,1
352,14,2,0,0,0,0,2,2.09465,1.12143,0,0.988438,0.0152225,-nan,-nan,-nan,0.0152225,-nan,0,0.02,0.005,1
338,15,2,0,0,0,0,2,2.09105,1.17176,0,0.962861,0.0435679,-nan,-nan,-nan,0.0435679,-nan,0,0.02,0.005,1
360,16,0,1,1,0,0,1,2.10057,1.16363,0,0.946197,0.00925431,0.00925431,-nan,-nan,-nan,0.00925431,0,0.02,0.005,1
372,17,0,2,2,0,0,2,2.1632,1.22212,0,0.972811,0.0317243,0.0317243,-nan,-nan,-nan,0.0317243,0,0.02,0.005,1
362,18,3,0,0,0,0,3,2.21423,1.26355,0,0.992335,0.0416533,-nan,-nan,-nan,0.0416533,-nan,0,0.02,0.005,1
360,19,0,1,1,0,0,1,2.22444,1.27343,0,0.984173,0.0331602,0.0331602,-nan,-nan,-nan,0.0331602,0,0.02,0.005,1
363,20,0,0,0,0,0,0,2.20368,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.005,1
334,21,0,1,1,0,0,1,2.1678,1.26439,0,0.909999,0.0065853,0.0065853,-nan,-nan,-nan,0.0065853,0,0.02,0.005,1
370,22,0,2,2,0,0,2,2.23037,1.27022,0,0.969969,0.00982594,0.00982594,-nan,-nan,-nan,0.00982594,0,0.02,0.005,1
381,23,1,0,0,0,0,1,2.22279,1.26361,0,0.962594,0.00341506,-nan,-nan,-nan,0.00341506,-nan,0,0.02,0.005,1
337,24,2,0,0,0,0,2,2.10265,1.14516,0,0.983897,0.0263988,-nan,-nan,-nan,0.0263988,-nan,0,0.02,0.005,1
349,25,2,0,0,0,0,2,2.1455,1.20085,0,0.970585,0.0259316,-nan,-nan,-nan,0.0259316,-nan,0,0.02,0.005,1
347,26,1,0,0,0,0,1,2.15185,1.21003,0,0.944541,0.002719,-nan,-nan,-nan,0.002719,-nan,0,0.02,0.005,1
339,27,0,1,1,0,0,1,2.2107,1.24149,0,0.981784,0.0125762,0.0125762,-nan,-nan,-nan,0.0125762,0,0.02,0.005,1
348,28,0,2,2,0,0,2,2.16073,1.23072,0,0.96913,0.0391173,0.0391173,-nan,-nan,-nan,0.0391173,0,0.02,0.005,1
355,29,1,0,0,0,0,1,2.2098,1.23285,0,0.980257,0.00330511,-nan,-nan,-nan,0.00330511,-nan,0,0.02,0.005,1
374,30,1,0,0,0,0,1,2.20155,1.24098,0,0.964708,0.00414487,-nan,-nan,-nan,0.00414487,-nan,0,0.02,0.005,1
379,31,0,1,1,0,0,1,2.2124,1.27546,0,0.988715,0.0517808,0.0517808,-nan,-nan,-nan,0.0517808,0,0.02,0.005,1
343,32,1,0,0,0,0,1,2.1516,1.23187,0,0.934649,0.0149192,-nan,-nan,-nan,0.0149192,-nan,0,0.02,0.005,1
358,33,1,0,0,0,0,1,2.16306,1.24142,0,0.952018,0.0303804,-nan,-nan,-nan,0.0303804,-nan,0,0.02,0.005,1
