Time,Rep,PopSizeF,PopSizeM,PopSizeM_Maj,PopSizeM_Min,PopSizeM_Juv,PopSize,CurrentEnv,avg_env,avg_thr,avg_res,avg_condition,avg_majM_condition,avg_minM_condition,avg_juvM_condition,avg_F_condition,avg_majM_display,iniT,MRate,MStdDev,Extinction
341,0,1,0,0,0,0,1,2.07088,1.14137,0,0.969851,0.0403441,-nan,-nan,-nan,0.0403441,-nan,0,0.02,0.035,1
399,1,1,0,0,0,0,1,2.22713,1.28308,0,0.982932,0.0388838,-nan,-nan,-nan,0.0388838,-nan,0,0.02,0.035,1
392,2,1,0,0,0,0,1,2.20381,1.2695,0,0.937884,0.00356535,-nan,-nan,-nan,0.00356535,-nan,0,0.02,0.035,1
388,3,3,0,0,0,0,3,2.25681,1.36172,0,0.941547,0.0464502,-nan,-nan,-nan,0.0464502,-nan,0,0.02,0.035,1
366,4,0,1,1,0,0,1,2.4023,1.51645,0,0.948726,0.0628758,0.0628758,-nan,-nan,-nan,0.0628758,0,0.02,0.035,1
396,5,0,3,3,0,0,3,2.39551,1.45067,0,0.96998,0.025142,0.025142,-nan,-nan,-nan,0.025142,0,0.02,0.035,1
359,6,1,0,0,0,0,1,2.1579,1.30604,0,0.911441,0.0595849,-nan,-nan,-nan,0.0595849,-nan,0,0.02,0.035,1
368,7,1,0,0,0,0,1,2.19342,1.26898,0,0.968605,0.0441652,-nan,-nan,-nan,0.0441652,-nan,0,0.02,0.035,1
342,8,0,0,0,0,0,0,2.12037,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.035,1
384,9,0,1,1,0,0,1,2.27863,1.29983,0,0.993755,0.0149507,0.0149507,-nan,-nan,-nan,0.0149507,0,0.02,0.035,1
357,10,3,0,0,0,0,3,2.23689,1.31492,0,0.963627,0.0416534,-nan,-nan,-nan,0.0416534,-nan,0,0.02,0.035,1
357,11,0,1,1,0,0,1,2.24467,1.27778,0,0.980634,0.0137442,0.0137442,-nan,-nan,-nan,0.0137442,0,0.02,0.035,1
391,12,5,0,0,0,0,5,2.24142,1.32647,0,0.975325,0.0603673,-nan,-nan,-nan,0.0603673,-nan,0,0.02,0.035,1
391,13,6,0,0,0,0,6,2.37248,1.45473,0,0.959334,0.0415913,-nan,-nan,-nan,0.0415913,-nan,0,0.02,0.035,1
352,14,0,2,2,0,0,2,2.27043,1.34119,0,0.986596,0.0573526,0.0573526,-nan,-nan,-nan,0.0573526,0,0.02,0.035,1
405,15,0,0,0,0,0,0,2.3447,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.035,1
360,16,2,0,0,0,0,2,2.22224,1.26727,0,0.991284,0.0363083,-nan,-nan,-nan,0.0363083,-nan,0,0.02,0.035,1
369,17,0,5,5,0,0,5,2.12028,1.21654,0,0.935418,0.0316839,0.0316839,-nan,-nan,-nan,0.0316839,0,0.02,0.035,1
379,18,2,0,0,0,0,2,2.23004,1.34798,0,0.898201,0.0161452,-nan,-nan,-nan,0.0161452,-nan,0,0.02,0.035,1
363,19,0,1,1,0,0,1,2.23959,1.35971,0,0.982355,0.102475,0.102475,-nan,-nan,-nan,0.102475,0,0.02,0.035,1
