Time,Rep,PopSizeF,PopSizeM,PopSizeM_Maj,PopSizeM_Min,PopSizeM_Juv,PopSize,CurrentEnv,avg_env,avg_thr,avg_res,avg_condition,avg_majM_condition,avg_minM_condition,avg_juvM_condition,avg_F_condition,avg_majM_display,iniT,MRate,MStdDev,Extinction
367,0,1,0,0,0,0,1,2.21746,1.24294,0,0.990498,0.0159865,-nan,-nan,-nan,0.0159865,-nan,0,0.02,0.03,1
389,1,0,1,1,0,0,1,2.21693,1.26289,0,0.990466,0.0364252,0.0364252,-nan,-nan,-nan,0.0364252,0,0.02,0.03,1
343,2,0,4,4,0,0,4,2.17371,1.26369,0,0.94929,0.0392693,0.0392693,-nan,-nan,-nan,0.0392693,0,0.02,0.03,1
383,3,0,0,0,0,0,0,2.31197,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.03,1
384,4,0,1,1,0,0,1,2.27045,1.31062,0,0.984467,0.0246393,0.0246393,-nan,-nan,-nan,0.0246393,0,0.02,0.03,1
374,5,0,2,2,0,0,2,2.21151,1.27794,0,0.975333,0.0417595,0.0417595,-nan,-nan,-nan,0.0417595,0,0.02,0.03,1
332,6,0,1,1,0,0,1,2.15386,1.19575,0,0.9655,0.00738376,0.00738376,-nan,-nan,-nan,0.00738376,0,0.02,0.03,1
370,7,4,0,0,0,0,4,2.24063,1.29331,0,0.985568,0.0382491,-nan,-nan,-nan,0.0382491,-nan,0,0.02,0.03,1
404,8,2,0,0,0,0,2,2.23968,1.30272,0,0.966579,0.02962,-nan,-nan,-nan,0.02962,-nan,0,0.02,0.03,1
419,9,1,0,0,0,0,1,2.33572,1.38204,0,0.986949,0.033269,-nan,-nan,-nan,0.033269,-nan,0,0.02,0.03,1
392,10,4,0,0,0,0,4,2.2556,1.35822,0,0.937646,0.0402706,-nan,-nan,-nan,0.0402706,-nan,0,0.02,0.03,1
362,11,5,0,0,0,0,5,2.21476,1.30424,0,0.951014,0.0404908,-nan,-nan,-nan,0.0404908,-nan,0,0.02,0.03,1
381,12,1,0,0,0,0,1,2.14354,1.2657,0,0.880109,0.00226603,-nan,-nan,-nan,0.00226603,-nan,0,0.02,0.03,1
365,13,0,1,1,0,0,1,2.29583,1.37012,0,0.952833,0.0271215,0.0271215,-nan,-nan,-nan,0.0271215,0,0.02,0.03,1
380,14,0,4,4,0,0,4,2.27372,1.35669,0,0.946726,0.0296912,0.0296912,-nan,-nan,-nan,0.0296912,0,0.02,0.03,1
361,15,1,0,0,0,0,1,2.27109,1.32876,0,0.976435,0.0340984,-nan,-nan,-nan,0.0340984,-nan,0,0.02,0.03,1
368,16,0,1,1,0,0,1,2.20568,1.25039,0,0.998971,0.0436847,0.0436847,-nan,-nan,-nan,0.0436847,0,0.02,0.03,1
366,17,1,0,0,0,0,1,2.22956,1.3082,0,0.92694,0.00557871,-nan,-nan,-nan,0.00557871,-nan,0,0.02,0.03,1
370,18,0,4,4,0,0,4,2.15836,1.22697,0,0.951451,0.0200561,0.0200561,-nan,-nan,-nan,0.0200561,0,0.02,0.03,1
360,19,0,4,4,0,0,4,2.22581,1.28192,0,0.97521,0.0313198,0.0313198,-nan,-nan,-nan,0.0313198,0,0.02,0.03,1
371,20,3,0,0,0,0,3,2.21101,1.29877,0,0.972296,0.0600523,-nan,-nan,-nan,0.0600523,-nan,0,0.02,0.03,1
417,21,1,0,0,0,0,1,2.27018,1.30576,0,0.971273,0.00685979,-nan,-nan,-nan,0.00685979,-nan,0,0.02,0.03,1
360,22,0,1,1,0,0,1,2.21059,1.26872,0,0.9894,0.0475349,0.0475349,-nan,-nan,-nan,0.0475349,0,0.02,0.03,1
362,23,2,0,0,0,0,2,2.18186,1.23,0,0.9762,0.0243417,-nan,-nan,-nan,0.0243417,-nan,0,0.02,0.03,1
364,24,0,0,0,0,0,0,2.1806,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.03,1
407,25,0,2,2,0,0,2,2.35672,1.43381,0,0.979811,0.0569019,0.0569019,-nan,-nan,-nan,0.0569019,0,0.02,0.03,1
374,26,0,1,1,0,0,1,2.23559,1.31192,0,0.961923,0.0382501,0.0382501,-nan,-nan,-nan,0.0382501,0,0.02,0.03,1
406,27,6,0,0,0,0,6,2.16678,1.23138,0,0.972288,0.0368921,-nan,-nan,-nan,0.0368921,-nan,0,0.02,0.03,1
352,28,0,0,0,0,0,0,2.12524,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.03,1
367,29,0,1,1,0,0,1,2.14945,1.23711,0,0.918881,0.00653933,0.00653933,-nan,-nan,-nan,0.00653933,0,0.02,0.03,1
366,30,0,2,2,0,0,2,2.17819,1.2611,0,0.963972,0.0468839,0.0468839,-nan,-nan,-nan,0.0468839,0,0.02,0.03,1
334,31,1,0,0,0,0,1,2.15761,1.17859,0,0.996238,0.017223,-nan,-nan,-nan,0.017223,-nan,0,0.02,0.03,1
370,32,2,0,0,0,0,2,2.16825,1.2267,0,0.982563,0.0410158,-nan,-nan,-nan,0.0410158,-nan,0,0.02,0.03,1
353,33,4,0,0,0,0,4,2.24261,1.30155,0,0.972528,0.0314713,-nan,-nan,-nan,0.0314713,-nan,0,0.02,0.03,1
388,34,0,1,1,0,0,1,2.26068,1.31494,0,0.963458,0.0177119,0.0177119,-nan,-nan,-nan,0.0177119,0,0.02,0.03,1
366,35,0,0,0,0,0,0,2.2833,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.03,1
