Time,Rep,PopSizeF,PopSizeM,PopSizeM_Maj,PopSizeM_Min,PopSizeM_Juv,PopSize,CurrentEnv,avg_env,avg_thr,avg_res,avg_condition,avg_majM_condition,avg_minM_condition,avg_juvM_condition,avg_F_condition,avg_majM_display,iniT,MRate,MStdDev,Extinction
391,0,0,1,1,0,0,1,2.23482,1.33027,0,0.932013,0.0274644,0.0274644,-nan,-nan,-nan,0.0274644,0,0.02,0.01,1
380,1,0,1,1,0,0,1,2.29419,1.3357,0,0.976718,0.0182289,0.0182289,-nan,-nan,-nan,0.0182289,0,0.02,0.01,1
369,2,1,0,0,0,0,1,2.29283,1.33568,0,0.966565,0.00941527,-nan,-nan,-nan,0.00941527,-nan,0,0.02,0.01,1
402,3,3,0,0,0,0,3,2.31331,1.37905,0,0.966633,0.0323709,-nan,-nan,-nan,0.0323709,-nan,0,0.02,0.01,1
363,4,1,0,0,0,0,1,2.14627,1.20677,0,0.963942,0.0244413,-nan,-nan,-nan,0.0244413,-nan,0,0.02,0.01,1
328,5,0,2,2,0,0,2,2.10849,1.18891,0,0.950349,0.030768,0.030768,-nan,-nan,-nan,0.030768,0,0.02,0.01,1
352,6,0,3,3,0,0,3,2.12776,1.21227,0,0.959566,0.0440786,0.0440786,-nan,-nan,-nan,0.0440786,0,0.02,0.01,1
345,7,0,1,1,0,0,1,2.11017,1.18228,0,0.93229,0.00439829,0.00439829,-nan,-nan,-nan,0.00439829,0,0.02,0.01,1
341,8,0,0,0,0,0,0,2.32126,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.01,1
351,9,0,0,0,0,0,0,2.17249,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.01,1
364,10,2,0,0,0,0,2,2.19934,1.25496,0,0.971585,0.0272099,-nan,-nan,-nan,0.0272099,-nan,0,0.02,0.01,1
405,11,3,0,0,0,0,3,2.20235,1.27384,0,0.945221,0.0167112,-nan,-nan,-nan,0.0167112,-nan,0,0.02,0.01,1
364,12,0,1,1,0,0,1,2.28446,1.29504,0,0.992805,0.00338367,0.00338367,-nan,-nan,-nan,0.00338367,0,0.02,0.01,1
371,13,1,0,0,0,0,1,2.21926,1.30157,0,0.998246,0.0805519,-nan,-nan,-nan,0.0805519,-nan,0,0.02,0.01,1
362,14,3,0,0,0,0,3,2.18608,1.25847,0,0.952271,0.0246656,-nan,-nan,-nan,0.0246656,-nan,0,0.02,0.01,1
376,15,0,1,1,0,0,1,2.24716,1.26619,0,0.992787,0.0118194,0.0118194,-nan,-nan,-nan,0.0118194,0,0.02,0.01,1
382,16,1,0,0,0,0,1,2.21456,1.28014,0,0.948893,0.0144788,-nan,-nan,-nan,0.0144788,-nan,0,0.02,0.01,1
351,17,1,0,0,0,0,1,2.1121,1.17589,0,0.958953,0.0227506,-nan,-nan,-nan,0.0227506,-nan,0,0.02,0.01,1
339,18,1,0,0,0,0,1,2.20103,1.24668,0,0.978863,0.0245116,-nan,-nan,-nan,0.0245116,-nan,0,0.02,0.01,1
350,19,1,0,0,0,0,1,2.2316,1.27835,0,0.995374,0.0421272,-nan,-nan,-nan,0.0421272,-nan,0,0.02,0.01,1
348,20,1,0,0,0,0,1,2.11598,1.1788,0,0.939656,0.00246928,-nan,-nan,-nan,0.00246928,-nan,0,0.02,0.01,1
361,21,0,1,1,0,0,1,2.18943,1.24158,0,0.970059,0.0222085,0.0222085,-nan,-nan,-nan,0.0222085,0,0.02,0.01,1
356,22,0,3,3,0,0,3,2.17401,1.22768,0,0.955602,0.00927743,0.00927743,-nan,-nan,-nan,0.00927743,0,0.02,0.01,1
367,23,4,0,0,0,0,4,2.10203,1.19176,0,0.947987,0.0377089,-nan,-nan,-nan,0.0377089,-nan,0,0.02,0.01,1
316,24,2,0,0,0,0,2,2.05522,1.14177,0,0.957508,0.0440589,-nan,-nan,-nan,0.0440589,-nan,0,0.02,0.01,1
339,25,0,1,1,0,0,1,2.09315,1.14734,0,0.959635,0.0138231,0.0138231,-nan,-nan,-nan,0.0138231,0,0.02,0.01,1
353,26,4,0,0,0,0,4,2.09846,1.1735,0,0.958862,0.0338941,-nan,-nan,-nan,0.0338941,-nan,0,0.02,0.01,1
